account_id,customer_name,customer_type,branch,account_open_date,risk_score
A00000,Omaja Chopra,Offshore,Mumbai,2017-08-20,0.23
A00001,Balveer Mitter,Business,Chennai,2018-01-18,0.65
A00002,Amol Bhatia,Shell,Bangalore,2020-03-28,0.69
A00003,Faris Muni,Offshore,Bangalore,2022-07-04,0.21
A00004,Varsha Char,Shell,Hyderabad,2022-09-03,0.13
A00005,Faras Bhattacharyya,Individual,Hyderabad,2016-07-24,0.97
A00006,Diya Sarma,Offshore,Hyderabad,2025-01-04,0.3
A00007,Ekansh Dara,Shell,Hyderabad,2020-04-02,0.27
A00008,Hema Jain,Offshore,Mumbai,2022-09-02,0.29
A00009,Oscar Balay,Shell,Bangalore,2020-07-13,0.49
A00010,Vedhika Barman,Individual,Bangalore,2021-12-01,0.39
A00011,Niharika Palla,Business,Kolkata,2021-08-24,0.18
A00012,Sudiksha Parikh,Business,Bangalore,2018-05-17,0.01
A00013,Udant Munshi,Individual,Hyderabad,2024-02-18,0.09
A00014,Chaman Dua,Business,Kolkata,2019-08-13,0.75
A00015,Ishita Uppal,Offshore,Delhi,2017-06-27,0.8
A00016,Chakradhar Gole,Individual,Kolkata,2019-07-10,0.88
A00017,Bahadurjit Nagy,Business,Hyderabad,2020-09-13,0.04
A00018,Xalak Gera,Offshore,Mumbai,2018-04-21,0.58
A00019,Unnati Sule,Individual,Delhi,2025-01-24,0.88
A00020,Chanakya Mani,Shell,Mumbai,2022-02-16,0.29
A00021,Avi Dua,Individual,Hyderabad,2025-04-17,0.73
A00022,Yutika Doctor,Individual,Bangalore,2019-09-02,0.02
A00023,Kala Dubey,Shell,Chennai,2023-10-25,0.95
A00024,Luke Kumer,Business,Chennai,2019-12-21,0.33
A00025,Girindra Nayak,Business,Bangalore,2023-10-19,0.19
A00026,Ishaan Banik,Business,Hyderabad,2018-01-31,0.06
A00027,Oeshi Lala,Offshore,Delhi,2023-05-12,0.74
A00028,Ayush Maharaj,Business,Bangalore,2021-12-06,0.63
A00029,Garima Gokhale,Shell,Hyderabad,2017-12-13,0.3
A00030,Geetika Bhattacharyya,Business,Mumbai,2018-01-16,0.15
A00031,Samesh Mitter,Business,Bangalore,2021-12-26,0.8
A00032,Vrinda Madan,Offshore,Bangalore,2018-07-12,0.2
A00033,Udant Doshi,Shell,Delhi,2019-04-23,0.29
A00034,Bhavini Parekh,Business,Bangalore,2018-12-17,0.98
A00035,Ekalinga Zachariah,Individual,Bangalore,2018-10-20,0.51
A00036,Akshay Goswami,Shell,Delhi,2019-01-15,0.13
A00037,Chanchal Arora,Offshore,Delhi,2015-09-23,0.75
A00038,Saumya Sane,Business,Bangalore,2016-12-02,0.94
A00039,Ekanta Bajwa,Offshore,Bangalore,2018-07-06,0.67
A00040,Sneha Manne,Offshore,Bangalore,2024-06-30,0.74
A00041,Bhavani Sharma,Business,Delhi,2025-03-10,0.89
A00042,Vasana Hans,Individual,Kolkata,2019-09-08,0.06
A00043,Fitan Devi,Business,Kolkata,2023-06-01,0.26
A00044,Umang Balan,Shell,Mumbai,2018-08-19,0.01
A00045,Ishita Samra,Individual,Chennai,2020-01-28,0.64
A00046,Wahab Aggarwal,Shell,Chennai,2024-03-30,0.24
A00047,Vidhi Sarma,Business,Hyderabad,2019-06-26,0.83
A00048,Damyanti Chacko,Individual,Hyderabad,2015-12-06,0.58
A00049,Aishani Saini,Business,Kolkata,2018-01-02,0.9
A00050,Sathvik Khosla,Offshore,Bangalore,2021-01-07,0.75
A00051,Aishani Magar,Business,Chennai,2024-12-18,0.94
A00052,Widisha Soni,Individual,Delhi,2023-10-26,0.77
A00053,Shaurya Vohra,Shell,Mumbai,2024-05-04,0.19
A00054,Faqid Ganesan,Individual,Kolkata,2017-09-10,0.48
A00055,Chavvi Kapoor,Business,Bangalore,2020-06-03,0.42
A00056,Brijesh Sur,Business,Delhi,2015-10-27,0.98
A00057,Jyoti Pillay,Shell,Chennai,2021-07-13,0.44
A00058,Zilmil Manne,Business,Kolkata,2018-01-10,0.2
A00059,Elijah Ratta,Shell,Mumbai,2016-05-02,0.87
A00060,Neha Chandra,Offshore,Delhi,2019-05-29,0.66
A00061,Advaith Bera,Individual,Hyderabad,2017-07-22,0.81
A00062,Divya Garg,Individual,Chennai,2019-09-17,0.36
A00063,Yutika Loyal,Shell,Delhi,2020-03-28,0.89
A00064,Upkaar Karnik,Offshore,Bangalore,2021-05-13,0.29
A00065,Triveni Mitra,Business,Bangalore,2019-09-06,0.58
A00066,Theodore Goel,Shell,Kolkata,2023-06-14,0.82
A00067,Orinder Soman,Business,Chennai,2019-01-05,0.34
A00068,Ridhi Savant,Offshore,Hyderabad,2020-01-17,0.57
A00069,Yuvraj Pant,Business,Bangalore,2019-03-09,0.27
A00070,Lavanya Pillai,Business,Mumbai,2015-11-18,0.33
A00071,Arin Ganesan,Business,Hyderabad,2023-01-23,0.32
A00072,Tarak Gopal,Individual,Chennai,2016-06-14,0.56
A00073,Yutika Sibal,Offshore,Chennai,2021-03-06,0.11
A00074,Agastya Acharya,Offshore,Delhi,2020-06-03,0.93
A00075,Ekaraj Rana,Shell,Bangalore,2022-02-10,0.1
A00076,Eiravati Ramaswamy,Offshore,Delhi,2023-02-09,0.94
A00077,Parth Magar,Shell,Chennai,2020-04-29,0.66
A00078,Omisha Malhotra,Offshore,Kolkata,2024-02-25,0.71
A00079,Darika Mani,Business,Hyderabad,2017-03-09,0.1
A00080,Owen Dara,Business,Kolkata,2018-12-01,0.57
A00081,Anusha Nadig,Offshore,Hyderabad,2017-01-03,0.4
A00082,Ijaya Srinivas,Business,Mumbai,2016-03-13,0.53
A00083,Devika Mander,Offshore,Hyderabad,2019-05-07,0.08
A00084,Indira Talwar,Business,Mumbai,2024-10-15,0.93
A00085,Ojasvi Deep,Individual,Kolkata,2020-10-16,0.64
A00086,Mitesh Loke,Shell,Chennai,2024-04-13,0.02
A00087,Zaitra Kothari,Business,Mumbai,2016-07-21,0.94
A00088,Umang Rama,Offshore,Mumbai,2015-10-15,0.24
A00089,Zashil Bal,Business,Hyderabad,2018-11-06,0.77
A00090,Tejas Nagar,Individual,Chennai,2020-10-13,0.56
A00091,Yachana Wagle,Business,Chennai,2018-03-04,0.42
A00092,Peter Sachdev,Offshore,Kolkata,2015-09-28,0.58
A00093,Avi Khosla,Offshore,Bangalore,2021-06-08,0.42
A00094,Jeet Dutta,Offshore,Mumbai,2016-02-15,0.35
A00095,Tarak Pai,Shell,Kolkata,2022-09-28,0.73
A00096,Noah Varughese,Shell,Bangalore,2018-11-04,0.03
A00097,Ishanvi Rai,Business,Mumbai,2024-07-26,0.81
A00098,Upkaar Randhawa,Business,Hyderabad,2020-10-01,0.57
A00099,Ayushman Wadhwa,Business,Kolkata,2024-09-18,0.53
A00100,Yuvraj Palla,Business,Hyderabad,2024-06-06,0.76
A00101,Nandini Parmer,Individual,Chennai,2023-04-04,0.67
A00102,Ekanta Banerjee,Business,Hyderabad,2024-09-27,0.46
A00103,Amol Walia,Shell,Bangalore,2019-09-07,0.12
A00104,Ucchal Tella,Shell,Kolkata,2022-04-16,0.51
A00105,Bishakha Nori,Individual,Delhi,2019-10-25,0.12
A00106,Ranbir Kade,Business,Kolkata,2020-06-27,0.81
A00107,Kavya Iyer,Offshore,Kolkata,2020-12-21,0.51
A00108,Barkha Lanka,Offshore,Hyderabad,2019-12-30,0.96
